section,experiment,dataset,model,method,metric,value,ci_lower,ci_upper,p_value,source_file,canonical
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,cost_usd,0.1035,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,cost_usd,0.0854,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,paired,token_ratio,1.4147,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,paired,cost_ratio,1.2119,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,latency_p50_all_s,2.52,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,latency_p95_all_s,9.59,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,SingleAgent-AllTools,latency_p50_all_s,2.06,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,SingleAgent-AllTools,latency_p95_all_s,12.52,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,latency_p50_llm_s,2.82,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,latency_p95_llm_s,10.01,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,SingleAgent-AllTools,latency_p50_llm_s,6.72,,,,External300_CANONICAL_METRICS.json,true
5.3,External300,External300,DeepSeek,SingleAgent-AllTools,latency_p95_llm_s,15.45,,,,External300_CANONICAL_METRICS.json,true
5.5,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,rule_repair_cvsr,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SingleAgent-AllTools,rule_repair_cvsr,0.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,data_binding_cvsr,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SingleAgent-AllTools,data_binding_cvsr,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,scene_construction_cvsr,0.500,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SingleAgent-AllTools,scene_construction_cvsr,0.400,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,asset_routing_cvsr,0.083,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SingleAgent-AllTools,asset_routing_cvsr,0.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,memory_query_cvsr,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SingleAgent-AllTools,memory_query_cvsr,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SA,rule_repair_fatal,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SA,scene_fatal,0.100,,,,"External300_CANONICAL_METRICS.json",true
5.5,External300,External300,DeepSeek,SA,asset_routing_fatal,0.150,,,,"External300_CANONICAL_METRICS.json",true
5.4,Ablation,20_tasks,DeepSeek,full,cvsr,0.550,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A1_no_compiler,cvsr,0.370,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A2_no_typed_repair,cvsr,0.580,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A3_no_ontology,cvsr,0.530,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,full,fatal_rate,0.000,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A1_no_compiler,fatal_rate,0.010,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A2_no_typed_repair,fatal_rate,0.220,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A3_no_ontology,fatal_rate,0.000,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,full,binding_f1,0.5292,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A1_no_compiler,binding_f1,0.3292,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A2_no_typed_repair,binding_f1,0.3292,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A3_no_ontology,binding_f1,0.4525,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,full,object_f1,0.7963,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A1_no_compiler,object_f1,0.7211,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A2_no_typed_repair,object_f1,0.7976,,,,"ablation_results.csv",true
5.4,Ablation,20_tasks,DeepSeek,A3_no_ontology,object_f1,0.7956,,,,"ablation_results.csv",true
5.6,Multimodel,External300,DeepSeek,paired,delta,0.2367,0.1833,0.2900,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,paired,delta,0.1800,0.1300,0.2333,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,paired,delta,0.2567,0.1967,0.3167,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,paired,delta,0.2167,0.1667,0.2667,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,paired,delta,0.2433,0.1833,0.3033,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,KAFarmTwin-TypedRepair,cvsr,0.6733,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,SingleAgent-AllTools,cvsr,0.4933,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,KAFarmTwin-TypedRepair,cvsr,0.6067,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,SingleAgent-AllTools,cvsr,0.3500,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,KAFarmTwin-TypedRepair,cvsr,0.6967,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,SingleAgent-AllTools,cvsr,0.4800,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,KAFarmTwin-TypedRepair,cvsr,0.7367,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,SingleAgent-AllTools,cvsr,0.4933,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,KAFarmTwin-TypedRepair,fatal_rate,0.000,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,SingleAgent-AllTools,fatal_rate,0.290,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,KAFarmTwin-TypedRepair,fatal_rate,0.003,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,SingleAgent-AllTools,fatal_rate,0.293,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,KAFarmTwin-TypedRepair,fatal_rate,0.000,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,SingleAgent-AllTools,fatal_rate,0.250,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,KAFarmTwin-TypedRepair,fatal_rate,0.000,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,SingleAgent-AllTools,fatal_rate,0.227,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Kimi-K2.6,KAFarmTwin-TypedRepair,replay_success,0.8083,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,MiniMax-M2.5,KAFarmTwin-TypedRepair,replay_success,0.7983,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,Qwen3.6-27B,KAFarmTwin-TypedRepair,replay_success,0.8083,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,GLM-5.2,KAFarmTwin-TypedRepair,replay_success,0.8050,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,cluster,aggregate,delta,0.2242,0.1792,0.2700,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,cluster,rule_repair_kf_all_models,cvsr,1.000,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.6,Multimodel,External300,cluster,rule_repair_sa_all_models,cvsr,0.000,,,,"MULTIMODEL_CANONICAL_STATISTICS_v2.json",true
5.7,test_v2,test_v2,DeepSeek,KAFarmTwin-TypedRepair,cvsr,0.610,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,SingleAgent-AllTools,cvsr,0.360,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,ReAct-AllTools,cvsr,0.000,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,GenericMultiAgent-AllTools,cvsr,0.010,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,GenericRepair-AllTools,cvsr,0.060,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,KAFarmTwin-TypedRepair,pass5,0.700,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,SingleAgent-AllTools,pass5,0.500,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,KAFarmTwin-TypedRepair,fatal_rate,0.000,,,,"v3_summary.json",true
5.7,test_v2,test_v2,DeepSeek,SingleAgent-AllTools,fatal_rate,0.320,,,,"v3_summary.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,cvsr,0.000,,,,"p05r_summary_v2.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,object_f1,1.000,,,,"p05r_summary_v2.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,relation_f1,1.000,,,,"p05r_summary_v2.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,binding_f1,0.100,,,,"p05r_summary_v2.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,srrr,1.000,,,,"p05r_summary_v2.json",true
5.3,External300,External300,DeepSeek,SingleAgent-DirectRepair,sesr,0.100,,,,"p05r_summary_v2.json",true
5.2,External300,External300_excl_rule_repair,DeepSeek,KAFarmTwin-TypedRepair,cvsr,0.646,,,,"derived from External300_CANONICAL_METRICS.json",true
5.2,External300,External300_excl_rule_repair,DeepSeek,SingleAgent-AllTools,cvsr,0.600,,,,"derived from External300_CANONICAL_METRICS.json",true
5.2,External300,External300_excl_rule_repair,DeepSeek,paired,delta,0.046,,,,"derived from External300_CANONICAL_METRICS.json",true
5.5,External300,asset_routing_audit,DeepSeek,audit,id_invariant_policy_error_pct,0.782,,,,"asset_routing_summary.json",true
