task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T23,规则修正,Ours KAFarmTwin,1,1,8,2,2,12,10,10,10,6,6,3,0,0,5,5,5,5,0,10,10,6,0,0,1,2,4,0,0,0,0,0,0,11190,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T24,规则修正,Direct-LLM + Schema,1,0,9,6,6,14,7,7,9,2,2,4,1,0,1,0,0,0,1,0,0,3,0,0,0,7,7,0,1,0,1,1,0,6610,水泵资产类型不匹配已修正为灌溉设备资产绑定，符合R4和R6规则
T24,规则修正,Ours KAFarmTwin,1,1,9,1,1,14,5,5,9,2,2,5,0,0,5,5,5,5,0,10,10,8,0,0,0,9,7,0,0,0,0,0,0,8857,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T25,历史查询,Direct-LLM + Schema,1,1,7,9,7,12,8,8,14,4,4,4,0,0,1,0,0,0,1,0,0,0,2,0,0,4,10,0,0,0,1,1,0,8585,历史查询符合R8限制，返回趋势、事件和建议
T25,历史查询,Ours KAFarmTwin,1,1,7,6,6,12,23,12,14,7,7,3,0,0,5,5,5,5,0,11,11,1,0,0,4,0,7,0,0,0,0,0,1,23002,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T26,历史查询,Direct-LLM + Schema,1,1,5,6,5,9,5,5,10,4,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,4,6,0,0,0,1,1,1,7740,历史查询任务，按R8限制对象、指标、时间范围、事件类型和返回条数，返回水泵、传感器、告警事件及温室关联
T26,历史查询,Ours KAFarmTwin,1,1,5,5,5,9,18,9,10,7,7,3,0,0,5,5,5,5,0,11,11,0,0,0,0,0,3,0,0,0,0,0,1,27253,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T27,历史查询,Direct-LLM + Schema,1,1,6,7,6,10,6,6,18,5,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,4,13,0,0,0,1,1,1,8717,历史查询任务，输出传感器数据汇总和告警统计，符合R8记忆查询限制要求
T27,历史查询,Ours KAFarmTwin,1,1,6,6,6,10,27,10,18,19,18,2,0,0,5,5,5,5,0,9,9,0,0,0,12,0,0,0,0,0,0,0,1,25147,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=5"
T28,历史查询,Direct-LLM + Schema,1,1,4,8,4,8,8,8,12,4,4,4,0,0,1,0,0,0,1,0,0,0,4,0,0,0,8,0,0,0,1,1,1,17830,历史查询已按R8限制对象P15、指标株高生育阶段、时间最近、事件类型表型、返回条数1条完成
T28,历史查询,Ours KAFarmTwin,1,1,4,2,2,8,8,8,12,2,2,3,0,0,5,5,5,5,0,11,11,2,0,0,1,0,10,0,0,0,0,0,1,26493,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T29,历史查询,Direct-LLM + Schema,1,1,5,4,4,9,5,5,8,2,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,4,6,0,0,0,1,1,1,4612,历史查询未返回事件记录，仅返回空间覆盖关系
T29,历史查询,Ours KAFarmTwin,1,1,5,2,2,9,10,9,8,6,6,2,0,0,5,5,5,5,0,10,10,3,0,0,1,0,2,0,0,0,0,0,1,16724,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T30,历史查询,Direct-LLM + Schema,1,1,8,11,8,16,10,10,20,8,8,8,0,0,1,0,0,0,1,0,0,0,3,0,3,6,12,0,0,0,1,1,0,11147,历史查询任务已完成，返回番茄温室生产日报数据，包含环境摘要、设备状态、灌溉记录、告警记录和Agent管理建议。
T30,历史查询,Ours KAFarmTwin,1,1,8,6,6,16,27,16,20,13,13,4,0,0,5,5,5,5,0,9,9,2,0,0,2,0,7,0,0,0,0,0,1,30161,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
