task_id,task_category,method,run_id,success,required_objects,generated_objects,required_relations,correct_relations,required_bindings,correct_bindings,required_asset_routes,correct_asset_routes,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,hierarchy_checks,hierarchy_violations,validator_rule_checks,validator_rule_conflicts,elapsed_ms,notes
T03,场景构建,Ours,1,1,48,31,58,58,8,8,8,8,5,0,0,5,5,1,0,4,0,29187,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours"
T03,场景构建,Ours w/o Ontology,1,0,48,31,58,31,8,8,8,8,5,1,0,5,4,1,1,4,1,29187,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T03,场景构建,Ours w/o Memory,1,1,48,31,58,58,8,8,8,8,5,0,0,5,4,1,0,4,0,29187,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T03,场景构建,Ours w/o Asset Router,1,0,48,31,58,58,8,1,8,0,5,1,0,5,4,1,0,4,1,29187,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T03,场景构建,Ours w/o Validator,1,0,48,31,58,58,8,8,8,8,5,3,0,5,4,1,0,4,3,29187,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T04,场景构建,Ours,1,1,42,30,54,54,12,12,0,0,6,0,0,5,5,1,0,5,0,30011,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2; ablation=Ours"
T04,场景构建,Ours w/o Ontology,1,0,42,30,54,29,12,12,0,0,6,1,0,5,4,1,1,5,1,30011,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T04,场景构建,Ours w/o Memory,1,1,42,30,54,54,12,12,0,0,6,0,0,5,4,1,0,5,0,30011,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T04,场景构建,Ours w/o Asset Router,1,1,42,30,54,54,12,4,0,0,6,0,0,5,4,1,0,5,0,30011,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T04,场景构建,Ours w/o Validator,1,0,42,30,54,54,12,12,0,0,6,4,0,5,4,1,0,5,4,30011,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T05,场景构建,Ours,1,1,34,33,45,45,10,10,0,0,6,0,0,5,5,1,0,5,0,29749,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours"
T05,场景构建,Ours w/o Ontology,1,0,34,33,45,24,10,10,0,0,6,1,0,5,4,1,1,5,1,29749,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T05,场景构建,Ours w/o Memory,1,1,34,33,45,45,10,10,0,0,6,0,0,5,4,1,0,5,0,29749,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T05,场景构建,Ours w/o Asset Router,1,1,34,33,45,45,10,3,0,0,6,0,0,5,4,1,0,5,0,29749,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T05,场景构建,Ours w/o Validator,1,0,34,33,45,45,10,10,0,0,6,4,0,5,4,1,0,5,4,29749,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T06,场景构建,Ours,1,1,35,36,48,48,12,12,0,0,6,0,0,5,5,1,0,5,0,28015,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours"
T06,场景构建,Ours w/o Ontology,1,0,35,36,48,26,12,12,0,0,6,1,0,5,4,1,1,5,1,28015,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T06,场景构建,Ours w/o Memory,1,1,35,36,48,48,12,12,0,0,6,0,0,5,4,1,0,5,0,28015,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T06,场景构建,Ours w/o Asset Router,1,1,35,36,48,48,12,3,0,0,6,0,0,5,4,1,0,5,0,28015,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T06,场景构建,Ours w/o Validator,1,0,35,36,48,48,12,12,0,0,6,4,0,5,4,1,0,5,4,28015,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T07,资产路由,Ours,1,1,24,22,31,31,24,24,24,24,4,0,0,5,5,1,0,3,0,28078,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours"
T07,资产路由,Ours w/o Ontology,1,0,24,22,31,17,24,24,24,24,4,1,0,5,4,1,1,3,1,28078,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T07,资产路由,Ours w/o Memory,1,1,24,22,31,31,24,24,24,24,4,0,0,5,4,1,0,3,0,28078,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T07,资产路由,Ours w/o Asset Router,1,0,24,22,31,31,24,2,24,0,4,2,0,5,4,1,0,3,2,28078,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T07,资产路由,Ours w/o Validator,1,0,24,22,31,31,24,24,24,24,4,2,0,5,4,1,0,3,2,28078,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=4; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T08,资产路由,Ours,1,0,88,6,108,17,88,6,88,6,5,1,1,5,5,0,0,4,1,28825,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0; ablation=Ours"
T08,资产路由,Ours w/o Ontology,1,0,88,6,108,6,88,6,88,6,5,1,1,5,4,0,0,4,1,28825,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T08,资产路由,Ours w/o Memory,1,0,88,6,108,17,88,6,88,6,5,1,1,5,4,0,0,4,1,28825,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T08,资产路由,Ours w/o Asset Router,1,0,88,6,108,11,88,0,88,0,5,2,1,5,4,0,0,4,2,28825,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T08,资产路由,Ours w/o Validator,1,0,88,6,108,17,88,6,88,6,5,4,1,5,4,0,0,4,4,28825,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T09,资产路由,Ours,1,1,18,17,27,27,18,18,18,17,4,0,0,5,5,0,0,3,0,30353,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours"
T09,资产路由,Ours w/o Ontology,1,1,18,17,27,21,18,18,18,17,4,0,0,5,4,0,0,3,0,30353,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T09,资产路由,Ours w/o Memory,1,1,18,17,27,27,18,18,18,17,4,0,0,5,4,0,0,3,0,30353,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T09,资产路由,Ours w/o Asset Router,1,0,18,17,27,27,18,2,18,0,4,1,0,5,4,0,0,3,1,30353,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T09,资产路由,Ours w/o Validator,1,0,18,17,27,27,18,18,18,17,4,3,0,5,4,0,0,3,3,30353,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T10,资产路由,Ours,1,1,12,4,18,10,12,8,12,7,4,0,0,5,5,0,0,3,0,30011,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1; ablation=Ours"
T10,资产路由,Ours w/o Ontology,1,1,12,4,18,5,12,8,12,7,4,0,0,5,4,0,0,3,0,30011,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T10,资产路由,Ours w/o Memory,1,1,12,4,18,10,12,8,12,7,4,0,0,5,4,0,0,3,0,30011,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T10,资产路由,Ours w/o Asset Router,1,0,12,4,18,6,12,1,12,0,4,2,0,5,4,0,0,3,2,30011,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T10,资产路由,Ours w/o Validator,1,0,12,4,18,10,12,8,12,7,4,3,0,5,4,0,0,3,3,30011,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T11,资产路由,Ours,1,1,14,4,22,16,14,8,14,6,5,0,0,5,5,0,0,4,0,28956,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=1; ablation=Ours"
T11,资产路由,Ours w/o Ontology,1,1,14,4,22,8,14,8,14,6,5,0,0,5,4,0,0,4,0,28956,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=1; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T11,资产路由,Ours w/o Memory,1,1,14,4,22,16,14,8,14,6,5,0,0,5,4,0,0,4,0,28956,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=1; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T11,资产路由,Ours w/o Asset Router,1,0,14,4,22,12,14,2,14,0,5,2,0,5,4,0,0,4,2,28956,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=1; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T11,资产路由,Ours w/o Validator,1,0,14,4,22,16,14,8,14,6,5,4,0,5,4,0,0,4,4,28956,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=1; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T12,资产路由,Ours,1,1,12,3,20,15,14,8,14,8,4,0,0,5,5,0,0,3,0,25437,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=5; ablation=Ours"
T12,资产路由,Ours w/o Ontology,1,1,12,3,20,6,14,8,14,8,4,0,0,5,4,0,0,3,0,25437,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=5; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T12,资产路由,Ours w/o Memory,1,1,12,3,20,15,14,7,14,7,4,1,0,5,4,0,0,3,1,25437,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=5; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T12,资产路由,Ours w/o Asset Router,1,0,12,3,20,12,14,0,14,0,4,1,0,5,4,0,0,3,1,25437,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=5; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T12,资产路由,Ours w/o Validator,1,0,12,3,20,15,14,8,14,8,4,2,0,5,4,0,0,3,2,25437,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=5; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T13,数据绑定,Ours,1,1,10,3,15,15,12,7,0,0,3,0,0,5,5,1,0,2,0,22333,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours"
T13,数据绑定,Ours w/o Ontology,1,0,10,3,15,8,12,7,0,0,3,1,0,5,4,1,1,2,1,22333,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T13,数据绑定,Ours w/o Memory,1,0,10,3,15,11,12,6,0,0,3,1,0,5,4,1,0,2,1,22333,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T13,数据绑定,Ours w/o Asset Router,1,1,10,3,15,12,12,1,0,0,3,0,0,5,4,1,0,2,0,22333,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T13,数据绑定,Ours w/o Validator,1,0,10,3,15,15,12,7,0,0,3,1,0,5,4,1,0,2,1,22333,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T14,数据绑定,Ours,1,1,8,7,14,14,10,10,0,0,4,0,0,5,5,1,0,3,0,24526,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours"
T14,数据绑定,Ours w/o Ontology,1,0,8,7,14,7,10,10,0,0,4,1,0,5,4,1,1,3,1,24526,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T14,数据绑定,Ours w/o Memory,1,0,8,7,14,10,10,5,0,0,4,1,0,5,4,1,0,3,1,24526,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T14,数据绑定,Ours w/o Asset Router,1,1,8,7,14,14,10,1,0,0,4,0,0,5,4,1,0,3,0,24526,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T14,数据绑定,Ours w/o Validator,1,0,8,7,14,14,10,10,0,0,4,2,0,5,4,1,0,3,2,24526,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T15,数据绑定,Ours,1,1,9,2,16,10,14,3,0,0,3,0,0,5,5,0,0,2,0,12742,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours"
T15,数据绑定,Ours w/o Ontology,1,1,9,2,16,5,14,3,0,0,3,0,0,5,4,0,0,2,0,12742,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T15,数据绑定,Ours w/o Memory,1,0,9,2,16,10,14,3,0,0,3,1,0,5,4,0,0,2,1,12742,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T15,数据绑定,Ours w/o Asset Router,1,1,9,2,16,8,14,1,0,0,3,0,0,5,4,0,0,2,0,12742,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T15,数据绑定,Ours w/o Validator,1,0,9,2,16,10,14,3,0,0,3,2,0,5,4,0,0,2,2,12742,"planSource={'mode': 'llm', 'model': 'deepseek-v4-flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T16,数据绑定,Ours,1,1,15,10,22,22,18,10,0,0,3,0,0,5,5,1,0,3,0,20127,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=0; ablation=Ours"
T16,数据绑定,Ours w/o Ontology,1,0,15,10,22,10,18,10,0,0,3,1,0,5,4,1,1,3,1,20127,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=0; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T16,数据绑定,Ours w/o Memory,1,1,15,10,22,16,18,9,0,0,3,1,0,5,4,1,0,3,1,20127,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=0; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
