task_id,task_category,method,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors
T13,数据绑定,Ours KAFarmTwin,4,0,0,5,0,3,0,0,0,0,0,0
T14,数据绑定,Direct-LLM + Schema,0,5,0,0,3,0,0,0,0,1,1,0
T14,数据绑定,LLM + Ontology/Rules Prompt,0,4,0,0,0,0,0,0,0,2,1,0
T14,数据绑定,RAG-Agent + Ontology/Rules,0,4,0,0,1,0,0,0,0,5,1,0
T14,数据绑定,Single-Agent + Validator,0,4,0,0,0,0,0,0,0,5,1,0
T14,数据绑定,Multi-Agent + Shared Knowledge,0,4,0,0,0,0,0,0,0,5,1,0
T14,数据绑定,Ours KAFarmTwin,2,0,0,4,0,0,0,0,0,0,0,0
T15,数据绑定,Direct-LLM + Schema,5,0,0,0,13,7,0,0,0,1,1,0
T15,数据绑定,LLM + Ontology/Rules Prompt,5,0,0,0,12,7,0,0,0,2,1,0
T15,数据绑定,RAG-Agent + Ontology/Rules,5,0,0,0,11,7,0,0,0,5,1,0
T15,数据绑定,Single-Agent + Validator,6,0,0,0,12,7,0,0,0,5,1,0
T15,数据绑定,Multi-Agent + Shared Knowledge,4,0,0,0,10,7,0,0,0,6,1,0
T15,数据绑定,Ours KAFarmTwin,7,0,0,0,10,11,0,0,0,0,0,0
T16,数据绑定,Direct-LLM + Schema,2,0,0,0,8,0,0,0,0,1,1,0
T16,数据绑定,LLM + Ontology/Rules Prompt,0,8,0,0,0,8,0,0,0,2,1,0
T16,数据绑定,RAG-Agent + Ontology/Rules,0,6,0,0,0,8,0,0,0,5,1,0
T16,数据绑定,Single-Agent + Validator,0,3,0,0,5,13,0,0,0,5,1,1
T16,数据绑定,Multi-Agent + Shared Knowledge,0,278,0,0,0,0,0,0,0,6,1,0
T16,数据绑定,Ours KAFarmTwin,5,0,0,10,0,8,0,0,0,0,0,0
T17,数据绑定,Direct-LLM + Schema,5,0,0,0,10,7,0,0,0,1,1,0
T17,数据绑定,LLM + Ontology/Rules Prompt,5,0,0,0,10,7,0,0,0,2,1,1
T17,数据绑定,RAG-Agent + Ontology/Rules,1,0,0,0,5,7,0,0,0,5,1,0
T17,数据绑定,Single-Agent + Validator,1,0,0,0,6,7,0,0,0,5,1,0
T17,数据绑定,Multi-Agent + Shared Knowledge,1,0,0,0,6,7,0,0,0,5,1,0
T17,数据绑定,Ours KAFarmTwin,0,7,0,0,0,0,0,0,0,0,0,1
T18,数据绑定,Direct-LLM + Schema,3,0,0,0,14,17,0,0,0,1,1,1
T18,数据绑定,LLM + Ontology/Rules Prompt,2,0,0,0,14,15,0,0,0,2,1,0
T18,数据绑定,RAG-Agent + Ontology/Rules,2,0,1,17,8,15,7,0,0,6,1,0
T18,数据绑定,Single-Agent + Validator,1,0,0,0,10,15,0,0,0,5,1,0
T18,数据绑定,Multi-Agent + Shared Knowledge,4,0,0,0,16,17,0,0,0,5,1,0
T18,数据绑定,Ours KAFarmTwin,6,0,0,4,1,13,0,0,0,0,0,1
T19,规则修正,Direct-LLM + Schema,6,0,1,0,11,6,0,0,0,1,1,0
T19,规则修正,LLM + Ontology/Rules Prompt,6,0,1,0,11,6,0,0,0,2,1,0
T19,规则修正,RAG-Agent + Ontology/Rules,6,0,1,0,11,6,0,0,0,5,1,0
T19,规则修正,Single-Agent + Validator,6,0,1,0,11,6,0,0,0,5,1,0
T19,规则修正,Multi-Agent + Shared Knowledge,6,0,0,0,10,6,0,0,0,6,1,0
T19,规则修正,Ours KAFarmTwin,2,0,0,2,0,0,0,0,0,0,0,0
T20,规则修正,Direct-LLM + Schema,10,0,0,0,15,6,0,0,1,1,1,0
T20,规则修正,LLM + Ontology/Rules Prompt,10,0,0,0,17,6,0,0,1,2,1,0
T20,规则修正,RAG-Agent + Ontology/Rules,10,0,0,0,17,7,0,0,1,5,1,0
T20,规则修正,Single-Agent + Validator,11,0,0,0,18,6,0,0,1,5,1,0
T20,规则修正,Multi-Agent + Shared Knowledge,11,0,0,0,17,5,0,0,1,6,1,0
T20,规则修正,Ours KAFarmTwin,8,0,0,0,0,0,0,0,0,0,0,0
T21,规则修正,Direct-LLM + Schema,9,0,1,0,11,3,0,0,0,1,1,1
T21,规则修正,LLM + Ontology/Rules Prompt,9,0,1,0,11,3,0,0,0,2,1,1
T21,规则修正,RAG-Agent + Ontology/Rules,9,0,1,0,11,3,0,0,0,5,1,1
T21,规则修正,Single-Agent + Validator,8,0,0,0,10,3,0,0,0,5,1,1
T21,规则修正,Multi-Agent + Shared Knowledge,9,0,1,0,11,3,0,0,0,6,1,1
T21,规则修正,Ours KAFarmTwin,14,0,0,4,12,5,0,0,0,0,0,1
T22,规则修正,Direct-LLM + Schema,5,0,0,0,10,6,0,0,0,1,1,0
T22,规则修正,LLM + Ontology/Rules Prompt,7,0,0,0,12,6,0,0,0,2,1,0
T22,规则修正,RAG-Agent + Ontology/Rules,6,0,0,0,10,6,0,0,0,6,1,0
T22,规则修正,Single-Agent + Validator,5,0,0,0,10,5,0,0,0,5,1,0
T22,规则修正,Multi-Agent + Shared Knowledge,6,0,0,0,11,6,0,0,0,6,1,0
T22,规则修正,Ours KAFarmTwin,8,0,0,0,9,2,0,0,0,0,0,0
T23,规则修正,Direct-LLM + Schema,3,0,0,0,8,5,0,0,0,1,1,0
T23,规则修正,LLM + Ontology/Rules Prompt,6,0,0,0,10,7,0,0,0,2,1,0
T23,规则修正,RAG-Agent + Ontology/Rules,3,0,0,0,8,7,0,0,0,5,1,0
T23,规则修正,Single-Agent + Validator,3,0,0,0,8,7,0,0,0,5,1,0
T23,规则修正,Multi-Agent + Shared Knowledge,3,0,0,0,8,7,0,0,0,6,1,0
T23,规则修正,Ours KAFarmTwin,2,0,0,0,0,0,0,0,0,0,0,0
T24,规则修正,Direct-LLM + Schema,2,0,0,0,8,7,0,1,0,1,1,0
T24,规则修正,LLM + Ontology/Rules Prompt,2,0,0,0,8,6,0,1,0,2,1,0
T24,规则修正,RAG-Agent + Ontology/Rules,4,0,0,0,10,6,0,1,0,5,1,0
T24,规则修正,Single-Agent + Validator,2,0,0,0,8,7,0,0,0,5,1,0
T24,规则修正,Multi-Agent + Shared Knowledge,1,0,0,0,5,6,0,1,0,6,1,0
T24,规则修正,Ours KAFarmTwin,4,0,0,4,0,3,0,0,0,0,0,0
T25,历史查询,Direct-LLM + Schema,0,1,0,0,5,11,0,0,0,1,1,0
T25,历史查询,LLM + Ontology/Rules Prompt,0,1,0,0,4,11,0,0,0,2,1,0
T25,历史查询,RAG-Agent + Ontology/Rules,0,0,0,0,6,11,0,0,0,5,1,0
T25,历史查询,Single-Agent + Validator,0,1,0,0,5,9,0,0,0,6,1,0
T25,历史查询,Multi-Agent + Shared Knowledge,0,2,0,0,4,11,0,0,0,6,1,0
T25,历史查询,Ours KAFarmTwin,3,0,0,4,0,10,0,0,0,0,0,1
T26,历史查询,Direct-LLM + Schema,0,1,0,0,0,4,0,0,0,1,1,0
T26,历史查询,LLM + Ontology/Rules Prompt,0,2,0,0,0,5,0,0,0,2,1,0
T26,历史查询,RAG-Agent + Ontology/Rules,0,2,0,0,0,0,0,0,0,5,1,0
T26,历史查询,Single-Agent + Validator,0,1,1,0,4,6,0,0,0,5,1,0
T26,历史查询,Multi-Agent + Shared Knowledge,0,2,0,0,2,6,0,0,0,6,1,0
T26,历史查询,Ours KAFarmTwin,1,0,0,0,0,5,0,0,0,0,0,1
T27,历史查询,Direct-LLM + Schema,0,0,0,0,5,12,0,0,0,1,1,0
T27,历史查询,LLM + Ontology/Rules Prompt,0,3,0,0,2,12,0,0,0,2,1,1
T27,历史查询,RAG-Agent + Ontology/Rules,0,5,0,3,0,12,0,0,0,5,1,0
T27,历史查询,Single-Agent + Validator,0,7,0,1,0,11,0,0,0,5,1,0
T27,历史查询,Multi-Agent + Shared Knowledge,0,6,0,1,0,12,0,0,0,6,1,0
T27,历史查询,Ours KAFarmTwin,0,0,0,4,0,12,0,0,0,0,0,1
T28,历史查询,Direct-LLM + Schema,0,4,0,0,1,9,0,0,0,1,1,0
T28,历史查询,LLM + Ontology/Rules Prompt,0,4,0,0,0,9,0,0,0,2,1,0
T28,历史查询,RAG-Agent + Ontology/Rules,0,3,0,0,2,9,0,0,0,5,1,0
T28,历史查询,Single-Agent + Validator,0,4,0,0,1,9,0,0,0,5,1,0
T28,历史查询,Multi-Agent + Shared Knowledge,0,3,0,0,2,9,0,0,0,6,1,0
T28,历史查询,Ours KAFarmTwin,0,4,0,0,0,3,0,0,0,0,0,1
T29,历史查询,Direct-LLM + Schema,1,0,0,0,5,6,0,0,0,1,1,0
T29,历史查询,LLM + Ontology/Rules Prompt,1,0,1,0,6,5,0,0,0,2,1,1
T29,历史查询,RAG-Agent + Ontology/Rules,2,0,0,0,5,5,0,0,0,5,1,0
T29,历史查询,Single-Agent + Validator,0,0,0,0,4,5,0,0,0,2,1,0
T29,历史查询,Multi-Agent + Shared Knowledge,0,0,0,0,4,5,0,0,0,6,1,0
T29,历史查询,Ours KAFarmTwin,0,1,0,4,0,0,0,0,0,0,0,1
T30,历史查询,Direct-LLM + Schema,0,2,0,0,7,15,0,0,0,1,1,0
T30,历史查询,LLM + Ontology/Rules Prompt,2,0,0,0,11,17,0,0,0,2,1,1
T30,历史查询,RAG-Agent + Ontology/Rules,0,4,0,0,7,15,0,0,0,4,1,0
T30,历史查询,Single-Agent + Validator,0,0,0,0,9,16,0,0,0,4,1,0
T30,历史查询,Multi-Agent + Shared Knowledge,0,2,0,0,8,16,0,0,0,6,1,0
T30,历史查询,Ours KAFarmTwin,0,0,0,4,0,11,0,0,0,0,0,1
