task_id,label,reason,cvsr
EXT-RR-016,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-017,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-018,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-019,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-020,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-021,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-022,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-023,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-024,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-025,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-026,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-027,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-028,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-029,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-030,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-031,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-032,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-033,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-034,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-035,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-036,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-037,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-038,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-039,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-040,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-041,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-042,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-043,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-044,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-045,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-046,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-047,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-048,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-049,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-050,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-051,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-052,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-053,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-054,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-055,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-056,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-057,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-058,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-059,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-060,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
