task_id,category,object_p,object_r,object_f1,relation_f1,binding_f1,fatal_violations,nonfatal_violations,first_failed,cvsr,evidence_precision,replay_success,llm_calls,tokens
EXT-RR-014,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3,all_bindings,False,0.0,0.0,1,517
EXT-RR-015,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,798
EXT-RR-016,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,843
EXT-RR-017,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,732
EXT-RR-018,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,755
EXT-RR-019,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,906
EXT-RR-020,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,844
EXT-RR-021,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,735
EXT-RR-022,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,829
EXT-RR-023,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,842
EXT-RR-024,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,913
EXT-RR-025,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,733
EXT-RR-026,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,753
EXT-RR-027,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,1080
EXT-RR-028,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,841
EXT-RR-029,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,738
EXT-RR-030,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,825
EXT-RR-031,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,913
EXT-RR-032,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,848
EXT-RR-033,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,808
EXT-RR-034,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,750
EXT-RR-035,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,906
EXT-RR-036,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,912
EXT-RR-037,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,732
EXT-RR-038,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,755
EXT-RR-039,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,906
EXT-RR-040,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,844
EXT-RR-041,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,735
EXT-RR-042,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,829
EXT-RR-043,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3,all_bindings,False,0.0,0.0,1,842
EXT-RR-044,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3,all_bindings,False,0.0,0.0,1,913
EXT-RR-045,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3,all_bindings,False,0.0,0.0,1,714
EXT-RR-046,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,971
EXT-RR-047,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1054
EXT-RR-048,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1061
EXT-RR-049,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,954
EXT-RR-050,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,975
EXT-RR-051,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1066
EXT-RR-052,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1134
EXT-RR-053,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,949
EXT-RR-054,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,966
EXT-RR-055,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1123
EXT-RR-056,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1057
EXT-RR-057,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1024
EXT-RR-058,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,971
EXT-RR-059,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1055
EXT-RR-060,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3|R3|R3,all_bindings,False,0.0,0.0,1,1061
