task_id,prompt,template_family,violation_rule,violation_type,number_of_violations,repair_steps_required,explicit_fix_target_in_prompt,semantic_reasoning_required,ontology_reasoning_required,asset_reasoning_required,binding_reasoning_required,hierarchy_reasoning_required,multiple_valid_repairs,difficulty_tier,KF_success,SA_success,KF_llm_calls,SA_llm_calls
EXT-RR-047,"检查并修复 ERR047_camera 的设备资产：Camera 不应使用 lettuce，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR047_preserve_plant_1, ERR047_preserve_plant_2。",Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-048,"对输入场景做类型化修复。目标对象 ERR048_sensor/Sensor 错用了 lemongrass 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR048_preserve_plant_1, ERR048_preserve_plant_2。",Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-049,"修复既有场景中的资产类型错误：ERR049_pump 是 Pump，却绑定了 soy 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR049_preserve_plant_1, ERR049_preserve_plant_2。",Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-050,"对象 ERR050_irrigation（类型 Irrigation）存在错绑，当前 asset_key=tomato。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR050_preserve_plant_1, ERR050_prese",Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-051,"检查并修复 ERR051_camera 的设备资产：Camera 不应使用 corn，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR051_preserve_plant_1, ERR051_preserve_plant_2。",Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-052,"对输入场景做类型化修复。目标对象 ERR052_sensor/Sensor 错用了 oregano 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR052_preserve_plant_1, ERR052_preserve_plant_2。",Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-053,"修复既有场景中的资产类型错误：ERR053_pump 是 Pump，却绑定了 plant 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR053_preserve_plant_1, ERR053_preserve_plant_2。",Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-054,"对象 ERR054_irrigation（类型 Irrigation）存在错绑，当前 asset_key=strawberry。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR054_preserve_plant_1, ERR054_p",Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-055,"检查并修复 ERR055_camera 的设备资产：Camera 不应使用 basil，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR055_preserve_plant_1, ERR055_preserve_plant_2。",Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-056,"对输入场景做类型化修复。目标对象 ERR056_sensor/Sensor 错用了 alfalfa 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR056_preserve_plant_1, ERR056_preserve_plant_2。",Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-057,"修复既有场景中的资产类型错误：ERR057_pump 是 Pump，却绑定了 lettuce 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR057_preserve_plant_1, ERR057_preserve_plant_2。",Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-058,"对象 ERR058_irrigation（类型 Irrigation）存在错绑，当前 asset_key=lemongrass。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR058_preserve_plant_1, ERR058_p",Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-059,"检查并修复 ERR059_camera 的设备资产：Camera 不应使用 soy，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR059_preserve_plant_1, ERR059_preserve_plant_2。",Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-060,"对输入场景做类型化修复。目标对象 ERR060_sensor/Sensor 错用了 tomato 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR060_preserve_plant_1, ERR060_preserve_plant_2。",Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
